,content
286,'Edan sekarang shopee ada fitur kayak pinjol. Ngeri ngeri sedap 🤪 https://t.co/7nH1UnY0b5'
287,'@Loeychan___ ka..  Waktu itu kamu kan prnah terjerat pinjol ilegal ya trus di bayarkan atau tidak ka soalny aku sama kyk kaka gtu jg di teror?'
288,'@Asknonym Mending jgn pinjaman online apalagi kl belum ada pekerjaan tetap
289,'Beri Pinjol Akses Data Kependudukan
290,'Ojek Online disingkat OJOL\nPinjaman Online disingkat PINJOL\nKalo kontrakan online disingkat ?? \n\nJawab singkat
291,'@tanyainrl pinjol aja'
292,'@AREAJULID Pinjol yg suka sms2 tersenyum lebar melihat ini'
293,'@sugar_free310 @DimsumHangat Dan trit ini akan diserbu spam pinjol dalam\n\n1...2...3...'
294,'Risih ga sih orng yg kerjaanya kek mengajak buat join tpi dia masuknya lwt chatt pribadi pdhl sblumnya kita ga kenal / ngasih no hp pun ga tpi ini bisa2nya msuk ke chatt pribadi klo msuknya ke grup ya gpp atau sosmed lainnya. Kdng klo ada sms dri pinjol / dpt undian aja udh risih'
295,'@NalendraLantip mau jadi pelanggan pertama kak
296,'@subtanyarl Njirrr..baru” aja gw ngalamin teror pinjol temen. 😌'
297,'@AnnisaPrm98 @chenk_2d dapet bro! warisan nya cicilan kostan
298,'@jeyunnim @millieverx @discountfess Maksud sender itu shopee skrg ada fitur baru yaitu shopeepinjam
299,'@JOHNNYSUHLMT @YUGYEOMLMT pinjol apa oppa?'
300,'@YUGYEOMLMT Pinjol paling itu 🙏'
301,'@whatyousleep Ga mau pinjol soalnya tenornya kecepetan'
302,'@CPinjol      Hi Pinjol
303,'Buset dah siapa yg pake nomer i buat pinjol ya'
304,'@jokowi Sip sir. Ehh btw ieu mah ti mana artosna ?henteu pan ai ti gestun gestun atau pinjol tea mah nyaaah ?'
305,'@denhazryan_ Akun pinjol lain ieu'
306,'@AREAJULID Sekarang
307,'Ngurus blokir spam sms sejenis pinjol
308,'@Ayoe_Miauw Wkwkwk ngeri Mbaaaa 😓 hadeuh ditawari kredit pinjol pula.'
309,'@peach_purrfact Hahaha maybe...\nBerlaku bgt di aku wkwk recent calls isinya kalo ga dari keluarga sama pinjol asuransi sama nawarin cc. Look at this
310,'@boybambung Di tmptku jg ada OB yg pake no &amp; data karyawan kantor buat pinjol
311,'Sepersekian detik ngetwit
312,'Sobat KUKM perlu mewaspadai dengan maraknya Pinjaman Online (Pinjol) dan jangan sampai terjebak pinjol ilegal ya. Pastikan dulu legalitasnya. Meskipun mudah diperoleh tapi waspadai juga kerugian yang dapat timbul… https://t.co/913ZijDsUs'
313,'@SgnIrawan Dia mau titip uang/barang ke kita
